번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명
18,영화상영관,03_13_02_P,4490000,CDFF4220002001000004,20010918,,3,폐업,34,영업장폐쇄,,,,,620-7202,,,충청남도 천안시 동남구 신부동 354-1번지,충청남도 천안시 동남구 만남로 43 (신부동),330160,야우리시네마(제4관),2.01E+13,I,59:59.0,,213910.8506,368774.0876,영화상영관,영화상영관,8,,,0,7,1,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20010918,
19,영화상영관,03_13_02_P,3910000,CDFF4220002005000018,20050805,,3,폐업,34,영업장폐쇄,20140401,,,,655-3036,,,경기도 평택시 비전동 830번지,경기도 평택시 경기대로 279 (비전동),,프리머스평택 6관,2.01E+13,I,59:59.0,,209932.5817,388254.4237,영화상영관,영화상영관,,,,,12,6,,,,,,,,,,,,,,,,,,,,영화관,,20050805,일반상업지역
20,영화상영관,03_13_02_P,3910000,CDFF4220002005000019,20050805,,3,폐업,34,영업장폐쇄,20140401,,,,656-3036,,,경기도 평택시 비전동 830번지,경기도 평택시 경기대로 279 (비전동),,프리머스평택 7관,2.01E+13,I,59:59.0,,209932.5817,388254.4237,영화상영관,영화상영관,,,,,12,6,,,,,,,,,,,,,,,,,,,,영화관,,20050805,일반상업지역
21,영화상영관,03_13_02_P,3910000,CDFF4220002005000020,20050805,,3,폐업,34,영업장폐쇄,20140401,,,,,,,경기도 평택시 비전동 830번지,경기도 평택시 경기대로 279 (비전동),,프리머스평택 8관,2.01E+13,I,59:59.0,,209932.5817,388254.4237,영화상영관,영화상영관,,,,,12,6,,,,,,,,,,,,,,,,,,,,영화관,,20050805,일반상업지역
22,영화상영관,03_13_02_P,3040000,CDFF4220002013000001,20130924,,3,폐업,34,영업장폐쇄,20150201,,,,02-457-0437,,,서울특별시 광진구 군자동 476-10번지,서울특별시 광진구 능동로31길 14 (군자동),4997,쇼앤톡카페시네마,2.02E+13,I,59:59.0,,206802.9672,450403.5646,영화상영관,,1,,,,0,1,근린생활시설,,,,,,,,,,,,,,,,,,,영화관,,20130924,준주거지역
23,영화상영관,03_13_02_P,3600000,CDFF4220002009000001,20090519,,1,영업/정상,13,영업중,,,,,062-369-3572,,,광주광역시 서구 광천동 49-1 유스퀘어(광천터미널),광주광역시 서구 무진대로 904 (광천동),61937,CGV 광주터미널 1관,2.02E+13,U,40:00.0,,189004.9682,184579.5536,영화상영관,,8,기타,,,6,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20090519,일반상업지역
24,영화상영관,03_13_02_P,3600000,CDFF4220002009000002,20090519,,1,영업/정상,13,영업중,,,,,062-369-3572,,,광주광역시 서구 광천동 49-1 유스퀘어(광천터미널),광주광역시 서구 무진대로 904 (광천동),61937,CGV 광주터미널 2관,2.02E+13,U,40:00.0,,189004.9682,184579.5536,영화상영관,,8,기타,,,6,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20090519,일반상업지역
25,영화상영관,03_13_02_P,3600000,CDFF4220002009000003,20090519,,1,영업/정상,13,영업중,,,,,062-369-3572,,,광주광역시 서구 광천동 49-1 유스퀘어(광천터미널),광주광역시 서구 무진대로 904 (광천동),61937,CGV 광주터미널 4관,2.02E+13,U,40:00.0,,189004.9682,184579.5536,영화상영관,,8,기타,,,6,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20090519,일반상업지역
26,영화상영관,03_13_02_P,3600000,CDFF4220002009000008,20090519,,1,영업/정상,13,영업중,,,,,062-369-3572,,,광주광역시 서구 광천동 49-1 유스퀘어(광천터미널),광주광역시 서구 무진대로 904 (광천동),61937,CGV 광주터미널 9관,2.02E+13,U,40:00.0,,189004.9682,184579.5536,영화상영관,,8,기타,,,6,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20090519,일반상업지역
27,영화상영관,03_13_02_P,3600000,CDFF4220002009000009,20090527,,1,영업/정상,13,영업중,,,,,062-369-3572,,,광주광역시 서구 광천동 49-1 유스퀘어(광천터미널),광주광역시 서구 무진대로 904 (광천동),61937,CGV 광주터미널 3관(IMAX),2.02E+13,U,40:00.0,,189004.9682,184579.5536,영화상영관,,7,기타,,,6,1,문화시설,1,,,,,,,,,,,,,,,,,,영화관,,20090527,일반상업지역
28,영화상영관,03_13_02_P,3600000,CDFF4220002011000001,20110809,,1,영업/정상,13,영업중,,,,,02-371-6505,,,광주광역시 서구 치평동 1218-1,광주광역시 서구 시청로 67 (치평동),61949,CGV광주상무 제1관,2.02E+13,U,40:00.0,,186350.8164,183915.8701,영화상영관,,15,유흥업소밀집지역,,,11,4,근린생활시설,1,,,,,,,,,,,,,,,,,,영화관,,20110809,중심상업지역
29,영화상영관,03_13_02_P,3590000,CDFF4220001999000002,19990508,,1,영업/정상,13,영업중,,,,,224-5858,,,광주광역시 동구 충장로5가 62-9번지,광주광역시 동구 충장로46번길 10 (충장로5가),61480,광주극장,2.02E+13,I,59:59.0,,191934.2551,183420.9653,영화상영관,영화상영관,4,,,,3,1,,,,,,,,,,,,,,,,,,,,영화관,,19990508,
30,영화상영관,03_13_02_P,3590000,CDFF4220001999000012,19990508,,1,영업/정상,13,영업중,,,,,,,501815,광주광역시 동구 동명동 243번지,,,계림극장,2.00E+13,I,59:59.0,,,,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,19990508,
31,영화상영관,03_13_02_P,3590000,CDFF4220002000000002,20000619,,1,영업/정상,13,영업중,,,,,221-1940,,,광주광역시 동구 대인동 7-1,광주광역시 동구 독립로 268 (대인동),,샤롯데관,2.02E+13,U,40:00.0,,191913.0383,183968.0199,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20000619,
32,영화상영관,03_13_02_P,3590000,CDFF4220002000000003,20000619,,1,영업/정상,13,영업중,,,,,221-1940,,,광주광역시 동구 대인동 7-1,광주광역시 동구 독립로 268 (대인동),,롯데시네마2관,2.02E+13,U,40:00.0,,191913.0383,183968.0199,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20000619,
33,영화상영관,03_13_02_P,3590000,CDFF4220002000000004,20000619,,1,영업/정상,13,영업중,,,,,221-1940,,,광주광역시 동구 대인동 7-1,광주광역시 동구 독립로 268 (대인동),,롯데시네마 4관,2.02E+13,U,40:00.0,,191913.0383,183968.0199,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20000619,
34,영화상영관,03_13_02_P,3590000,CDFF4220002000000005,20000619,,1,영업/정상,13,영업중,,,,,221-1940,,,광주광역시 동구 대인동 7-1,광주광역시 동구 독립로 268 (대인동),,롯데시네마 5관,2.02E+13,U,40:00.0,,191913.0383,183968.0199,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20000619,
35,영화상영관,03_13_02_P,3590000,CDFF4220002000000006,20000619,,1,영업/정상,13,영업중,,,,,221-1940,,,광주광역시 동구 대인동 7-1,광주광역시 동구 독립로 268 (대인동),,롯데시네마 6관,2.02E+13,U,40:00.0,,191913.0383,183968.0199,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20000619,
36,영화상영관,03_13_02_P,3590000,CDFF4220002010000001,20100121,,1,영업/정상,13,영업중,,,,,062-350-9340,,,광주광역시 동구 서석동 47-1,광주광역시 동구 제봉로 96 (서석동),,광주독립영화관(G시네마),2.02E+13,U,40:00.0,,192842.5254,183089.7815,영화상영관,,8,학교정화(절대),,,6,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20100121,준주거지역
37,영화상영관,03_13_02_P,3590000,CDFF4220002013000001,20131218,,1,영업/정상,13,영업중,,,,,070-4940-0523,,,광주광역시 동구 황금동 12-2번지,광주광역시 동구 충장로안길 12 (황금동),61483,롯데시네마 충장로 8관,2.01E+13,I,59:59.0,,192149.202,183221.9289,영화상영관,,,,,,6,1,,,,,,,,,,,,,,,,,,,,영화관,,20131218,
38,영화상영관,03_13_02_P,3590000,CDFF4220002013000002,20131218,,1,영업/정상,13,영업중,,,,,070-4940-0523,,,광주광역시 동구 황금동 12-2번지,광주광역시 동구 충장로안길 12 (황금동),61483,롯데시네마 충장로 7관,2.01E+13,I,59:59.0,,192149.202,183221.9289,영화상영관,,,,,,6,1,,,,,,,,,,,,,,,,,,,,영화관,,20131218,
39,영화상영관,03_13_02_P,3620000,CDFF4220002006000016,20061122,,1,영업/정상,13,영업중,,,,,062-511-1100,,,광주광역시 북구 중흥동 362-2,광주광역시 북구 우치로 60 (중흥동),61207,메가박스 전대 6관,2.02E+13,U,40:00.0,,191950.6543,185940.6389,영화상영관,영화상영관,10,주택가주변,,,9,1,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20061122,
40,영화상영관,03_13_02_P,3620000,CDFF4220002006000017,20061122,,1,영업/정상,13,영업중,,,,,062-511-1100,,,광주광역시 북구 중흥동 362-2,광주광역시 북구 우치로 60 (중흥동),61207,메가박스 전대 7관,2.02E+13,U,40:00.0,,191950.6543,185940.6389,영화상영관,영화상영관,10,주택가주변,,,9,1,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20061122,
41,영화상영관,03_13_02_P,3620000,CDFF4220002017000001,20170215,,1,영업/정상,13,영업중,,,,,,,,광주광역시 북구 생용동 90,광주광역시 북구 우치로 649 (생용동),61028,광주자동차극장,2.02E+13,U,40:00.0,,190877.7984,191627.3773,영화상영관,,0,기타,,0,0,0,문화시설,0,0,0,0,,,,,,,,,,,,0,,,자동차극장,,20170215,
42,영화상영관,03_13_02_P,3420000,CDFF4220002010000006,20100713,,1,영업/정상,13,영업중,,,,,053-960-2642,,,대구광역시 동구 율하동 1117,대구광역시 동구 안심로 80 (율하동),41097,롯데시네마 율하관(제6관),2.02E+13,U,40:00.0,,352868.5366,264480.5655,영화상영관,,,,,,4,,,,,,,,,,,,,,,,,,,,,영화관,,20100713,
43,영화상영관,03_13_02_P,3420000,CDFF4220002011000001,20110428,,1,영업/정상,13,영업중,,,,,053-256-0528,,,대구광역시 동구 봉무동 1545 이시아폴리스라이프스타일센터,"대구광역시 동구 팔공로49길 16 (봉무동,이시아폴리스라이프스타일센터)",,씨네Q 대구이시아 1관,2.02E+13,U,40:00.0,,347690.4344,270271.2257,영화상영관,,,,,,5,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20110428,일반상업지역
44,영화상영관,03_13_02_P,3420000,CDFF4220002011000002,20110428,,1,영업/정상,13,영업중,,,,,053-256-0528,,,대구광역시 동구 봉무동 1545 이시아폴리스라이프스타일센터,"대구광역시 동구 팔공로49길 16 (봉무동,이시아폴리스라이프스타일센터)",,씨네Q 대구이시아 2관,2.02E+13,U,40:00.0,,347690.4344,270271.2257,영화상영관,,,,,,5,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20110428,일반상업지역
45,영화상영관,03_13_02_P,3420000,CDFF4220002011000003,20110428,,1,영업/정상,13,영업중,,,,,053-256-0528,,,대구광역시 동구 봉무동 1545 이시아폴리스라이프스타일센터,"대구광역시 동구 팔공로49길 16 (봉무동,이시아폴리스라이프스타일센터)",,씨네Q 대구이시아 3관,2.02E+13,U,40:00.0,,347690.4344,270271.2257,영화상영관,,,,,,5,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20110428,일반상업지역
46,영화상영관,03_13_02_P,3420000,CDFF4220002011000004,20110428,,1,영업/정상,13,영업중,,,,,053-256-0528,,,대구광역시 동구 봉무동 1545 이시아폴리스라이프스타일센터,"대구광역시 동구 팔공로49길 16 (봉무동,이시아폴리스라이프스타일센터)",,씨네Q 대구이시아 4관,2.02E+13,U,40:00.0,,347690.4344,270271.2257,영화상영관,,,,,,5,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20110428,일반상업지역
47,영화상영관,03_13_02_P,3420000,CDFF4220002011000005,20110428,,1,영업/정상,13,영업중,,,,,053-256-0528,,,대구광역시 동구 봉무동 1545 이시아폴리스라이프스타일센터,"대구광역시 동구 팔공로49길 16 (봉무동,이시아폴리스라이프스타일센터)",,씨네Q 대구이시아 5관,2.02E+13,U,40:00.0,,347690.4344,270271.2257,영화상영관,,,,,,5,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20110428,일반상업지역
48,영화상영관,03_13_02_P,3420000,CDFF4220002011000006,20110428,,1,영업/정상,13,영업중,,,,,053-256-0528,,,대구광역시 동구 봉무동 1545 이시아폴리스라이프스타일센터,"대구광역시 동구 팔공로49길 16 (봉무동,이시아폴리스라이프스타일센터)",,씨네Q 대구이시아 6관,2.02E+13,U,40:00.0,,347690.4344,270271.2257,영화상영관,,,,,,5,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20110428,일반상업지역
49,영화상영관,03_13_02_P,3420000,CDFF4220002011000007,20110428,,1,영업/정상,13,영업중,,,,,053-256-0528,,,대구광역시 동구 봉무동 1545 이시아폴리스라이프스타일센터,"대구광역시 동구 팔공로49길 16 (봉무동,이시아폴리스라이프스타일센터)",,씨네Q 대구이시아 7관,2.02E+13,U,40:00.0,,347690.4344,270271.2257,영화상영관,,,,,,5,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20110428,일반상업지역
50,영화상영관,03_13_02_P,3420000,CDFF4220002016000001,20161212,,1,영업/정상,13,영업중,,,,,,,,대구광역시 동구 신천동 1506,"대구광역시 동구 동부로 149 (신천동, 동대구역복합환승센터)",41229,메가박스중앙 (주)대구 신세계지점 Dolby Cinema관,2.02E+13,U,40:00.0,,347037.242,265407.4043,영화상영관,,9,,,0,8,0,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20161212,
51,영화상영관,03_13_02_P,3420000,CDFF4220002016000002,20161212,,1,영업/정상,13,영업중,,,,,,,,대구광역시 동구 신천동 1506,"대구광역시 동구 동부로 149 (신천동, 동대구역복합환승센터)",41229,메가박스중앙 (주)대구 신세계지점 2관,2.02E+13,U,40:00.0,,347037.242,265407.4043,영화상영관,,9,,,,8,,,,,,,,,,,,,,,,,,,,,영화관,,20161212,
52,영화상영관,03_13_02_P,3420000,CDFF4220002016000003,20161212,,1,영업/정상,13,영업중,,,,,,,,대구광역시 동구 신천동 1506,"대구광역시 동구 동부로 149 (신천동, 동대구역복합환승센터)",41229,메가박스중앙 (주)대구 신세계지점 3관,2.02E+13,U,40:00.0,,347037.242,265407.4043,영화상영관,,9,,,,8,,,,,,,,,,,,,,,,,,,,,영화관,,20161212,
53,영화상영관,03_13_02_P,3420000,CDFF4220002002000001,20020122,,1,영업/정상,13,영업중,,,,,985-5080,,,대구광역시 동구 용수동 50-1,대구광역시 동구 팔공산로 1184 (용수동),41007,씨네팔공산,2.02E+13,U,40:00.0,,352679.2832,277641.7859,영화상영관,영화상영관,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,자동차극장,,20020122,
54,영화상영관,03_13_02_P,3420000,CDFF4220002010000001,20100713,,1,영업/정상,13,영업중,,,,,053-960-2641,,,대구광역시 동구 율하동 1117,대구광역시 동구 안심로 80 (율하동),41097,롯데시네마 율하관(제1관),2.02E+13,U,40:00.0,,352868.5366,264480.5655,영화상영관,,,,,,4,,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20100713,
55,영화상영관,03_13_02_P,3420000,CDFF4220002010000002,20100713,,1,영업/정상,13,영업중,,,,,053-960-2643,,,대구광역시 동구 율하동 1117,대구광역시 동구 안심로 80 (율하동),41097,롯데시네마 율하관(제2관),2.02E+13,U,40:00.0,,352868.5366,264480.5655,영화상영관,,,,,,4,,,,,,,,,,,,,,,,,,,,,영화관,,20100713,
56,영화상영관,03_13_02_P,3420000,CDFF4220002010000003,20100713,,1,영업/정상,13,영업중,,,,,053-960-2642,,,대구광역시 동구 율하동 1117,대구광역시 동구 안심로 80 (율하동),41097,롯데시네마 율하관(제3관),2.02E+13,U,40:00.0,,352868.5366,264480.5655,영화상영관,,,,,,4,,,,,,,,,,,,,,,,,,,,,영화관,,20100713,
57,영화상영관,03_13_02_P,3420000,CDFF4220002010000004,20100713,,1,영업/정상,13,영업중,,,,,053-960-2642,,,대구광역시 동구 율하동 1117,대구광역시 동구 안심로 80 (율하동),41097,롯데시네마 율하관(제4관),2.02E+13,U,40:00.0,,352868.5366,264480.5655,영화상영관,,,,,,4,,,,,,,,,,,,,,,,,,,,,영화관,,20100713,
58,영화상영관,03_13_02_P,3420000,CDFF4220002010000005,20100713,,1,영업/정상,13,영업중,,,,,053-960-2642,,,대구광역시 동구 율하동 1117,대구광역시 동구 안심로 80 (율하동),41097,롯데시네마 율하관(제5관),2.02E+13,U,40:00.0,,352868.5366,264480.5655,영화상영관,,,,,,4,,,,,,,,,,,,,,,,,,,,,영화관,,20100713,
59,영화상영관,03_13_02_P,3420000,CDFF4220002016000004,20161212,,1,영업/정상,13,영업중,,,,,,,,대구광역시 동구 신천동 1506,"대구광역시 동구 동부로 149 (신천동, 동대구역복합환승센터)",41229,메가박스중앙 (주)대구 신세계지점 4관,2.02E+13,U,40:00.0,,347037.242,265407.4043,영화상영관,,9,,,,8,,,,,,,,,,,,,,,,,,,,,영화관,,20161212,
60,영화상영관,03_13_02_P,3420000,CDFF4220002016000005,20161212,,1,영업/정상,13,영업중,,,,,,,,대구광역시 동구 신천동 1506,"대구광역시 동구 동부로 149 (신천동, 동대구역복합환승센터)",41229,메가박스중앙 (주)대구 신세계지점 6관,2.02E+13,U,40:00.0,,347037.242,265407.4043,영화상영관,,9,,,,8,,,,,,,,,,,,,,,,,,,,,영화관,,20161212,
61,영화상영관,03_13_02_P,3420000,CDFF4220002016000006,20161212,,1,영업/정상,13,영업중,,,,,,,,대구광역시 동구 신천동 1506,"대구광역시 동구 동부로 149 (신천동, 동대구역복합환승센터)",41229,메가박스중앙 (주)대구 신세계지점 5관,2.02E+13,U,40:00.0,,347037.242,265407.4043,영화상영관,,9,,,,8,,,,,,,,,,,,,,,,,,,,,영화관,,20161212,
62,영화상영관,03_13_02_P,3410000,CDFF4220002002000008,20020626,,1,영업/정상,13,영업중,,,,,257-2041,,,대구광역시 중구 종로1가 29-4번지,대구광역시 중구 국채보상로 547 (종로1가),41919,롯데시네마 프리미엄 만경관 8관,2.02E+13,I,59:59.0,,343571.9657,264582.7763,영화상영관,영화상영관,,,,,9,,,1,,,,,,,,,,,,,,,,,,영화관,,20020626,
63,영화상영관,03_13_02_P,3410000,CDFF4220002002000009,20020626,,1,영업/정상,13,영업중,,,,,257-2041,,,대구광역시 중구 종로1가 29-4번지,대구광역시 중구 국채보상로 547 (종로1가),41919,롯데시네마 프리미엄 만경관 9관,2.02E+13,I,59:59.0,,343571.9657,264582.7763,영화상영관,영화상영관,,,,,9,,,1,,,,,,,,,,,,,,,,,,영화관,,20020626,
64,영화상영관,03_13_02_P,3410000,CDFF4220002002000001,20020626,,1,영업/정상,13,영업중,,,,,422-0900,,,대구광역시 중구 종로1가 29-4번지,대구광역시 중구 국채보상로 547 (종로1가),41919,롯데시네마 프리미엄 만경관 1관,2.02E+13,U,36:30.0,,343571.9657,264582.7763,영화상영관,영화상영관,,,,,9,,,,,,,,,,,,,,,,,,,,,영화관,,20020626,
